n_layer1;n_layer2;dropout_1;dropout_2;act;optim;n_batch;best_val_acc
256;128;0.30672932627603405;0.16814644226832778;relu;adam;256;0.889
256;128;0.27528434946859986;0.22892397222441516;relu;adam;256;0.887
256;128;0.25541232002122405;0.11452967026875847;relu;adam;128;0.8933
256;256;0.3388744542378808;0.14902217108332982;relu;adam;256;0.8893
256;128;0.23396142854244398;0.2050191874351394;swish;sgd;128;0.8416
128;256;0.3262741431153623;0.13544329881532916;relu;adam;64;0.8897
256;128;0.34616294210400633;0.09908004114540897;relu;adam;256;0.8883
256;512;0.29096661072280666;0.06482058222017405;leakyrelu;adam;128;0.875
512;256;0.39296382488790627;0.07874529208546661;relu;rmsprop;128;0.889
256;128;0.3648133234897258;0.12728580201707596;relu;adam;256;0.8839
256;256;0.31449456046400176;0.30255289011356745;relu;adam;128;0.8923
128;128;0.2226016161154043;0.2130240153599936;swish;sgd;64;0.8389
256;256;0.10116011977715514;0.16198623590994254;relu;adam;256;0.895
256;512;0.37294766521929396;0.11068664119022537;relu;adam;128;0.8874
512;256;0.2429395721219691;0.25750170206939865;leakyrelu;rmsprop;256;0.87
256;128;0.2822782968895936;0.2661285983108816;relu;adam;128;0.8921
256;256;0.17609993068101792;0.09640707859200268;relu;adam;256;0.8949
256;128;0.41312010040136193;0.1382352287374645;swish;sgd;128;0.8373
128;256;0.30350529243060065;0.15181840533612945;relu;adam;64;0.8907
256;128;0.2698151393489704;0.17890328544593467;relu;adam;256;0.8878
256;512;0.3570785989077375;0.04582663932562198;relu;adam;128;0.8932
512;256;0.19810625968813814;0.06833275812490848;leakyrelu;rmsprop;256;0.8746
256;128;0.32931379046085213;0.28270777928936136;relu;adam;128;0.8809
256;256;0.3420291151653456;0.24094031423612777;relu;adam;256;0.8831
128;128;0.44392964027240256;0.22301387865246292;swish;sgd;128;0.8395
256;256;0.12121344604376763;0.08430085160067481;relu;adam;64;0.8753
256;128;0.21407562943370792;0.16879253496251706;relu;adam;256;0.8856
256;512;0.3872893229684391;0.12611720274229496;leakyrelu;adam;128;0.8763
512;256;0.26108689776979366;0.14486234868128461;relu;rmsprop;256;0.8839
256;128;0.29468313597504475;0.18758335751441257;relu;adam;128;0.8859
256;256;0.4705310671717743;0.3169292076256595;relu;adam;256;0.8781
256;128;0.3174837586407571;0.4818272585212733;swish;sgd;128;0.8369
128;256;0.25136913647656084;0.20109616699694818;relu;adam;64;0.8834
256;128;0.235088460096732;0.3535957896313732;relu;adam;256;0.8931
256;512;0.2790964470968613;0.2452859615456952;leakyrelu;adam;128;0.8713
512;256;0.055206059609534675;0.11813375347741786;relu;rmsprop;256;0.8982
512;256;0.010359120662775133;0.03389795430254161;relu;rmsprop;128;0.8849
512;256;0.06013465935366759;0.10512424994186555;relu;rmsprop;256;0.8954
512;256;0.0739555415797312;0.09171657057614191;swish;rmsprop;128;0.8622
512;256;0.04658656963704021;0.015066257312465983;relu;rmsprop;64;0.8723
512;256;0.3790117477931356;0.07239289577236593;relu;rmsprop;256;0.8872
512;256;0.4048042487979008;0.15648489727957926;relu;rmsprop;128;0.8783
512;256;0.34981822879161606;0.052491254768904705;leakyrelu;rmsprop;256;0.8677
512;256;0.42765079465003986;0.11569394828888133;relu;rmsprop;128;0.883
512;256;0.367023153319875;0.17651746640924432;relu;rmsprop;256;0.8875
512;256;0.3961972245059209;0.1381973053731399;swish;rmsprop;128;0.8942
512;256;0.4537132691859419;0.08140941249277658;relu;rmsprop;64;0.8683
512;256;0.33273949113549806;0.21779951044993842;relu;rmsprop;256;0.8855
512;256;0.09697949996065747;0.025142415397544263;relu;rmsprop;128;0.8873
512;256;0.3031873136291013;0.057436083773982294;leakyrelu;rmsprop;256;0.8624
512;256;0.02100860993920048;0.16664537904473148;relu;rmsprop;128;0.8792
512;256;0.2889761649217654;0.10891699081474401;relu;rmsprop;256;0.8903
128;256;0.41612284225851215;0.4978000396990035;swish;sgd;128;0.8352
512;256;0.32390416962846913;0.004329995047916119;relu;rmsprop;64;0.8687
512;256;0.04851147595182399;0.09438767065913273;relu;rmsprop;256;0.8836
128;512;0.4948656230433912;0.044067656732055066;relu;sgd;128;0.864
512;256;0.16233337928953204;0.19246201366768637;leakyrelu;rmsprop;256;0.8672
512;256;0.3541062310476232;0.12366304789843224;relu;sgd;128;0.8767
128;256;0.3128155351127871;0.15278946460165665;relu;rmsprop;256;0.8792
512;512;0.36433330591927077;0.46342154597458984;relu;rmsprop;128;0.8744
128;256;0.002001209830500575;0.20909226989108617;swish;sgd;64;0.853
512;256;0.38265919911682084;0.22817184585125536;relu;rmsprop;256;0.8461
256;256;0.2675754331255465;0.14558173307755737;relu;adam;128;0.8813
